REGIÃO,PRODUTO,count,mean,std,min,25%,50%,75%,max
CENTRO OESTE,ETANOL HIDRATADO,3140.0,2.13595,0.5611536997305184,1.162,1.716,2.001,2.479,3.999
CENTRO OESTE,GASOLINA COMUM,3140.0,3.0781229299363058,0.6163152646425056,1.936,2.668,2.856,3.46025,4.963
CENTRO OESTE,GLP,3137.0,48.181148549569656,15.189152222285237,28.791,37.34,42.857,55.905,99.357
CENTRO OESTE,GNV,1523.0,2.0041529875246225,0.45780155637099734,1.097,1.599,1.955,2.3525,3.89
CENTRO OESTE,ÓLEO DIESEL,3140.0,2.481534076433121,0.627606793419897,1.435,2.033,2.2455,3.019,4.162
CENTRO OESTE,ÓLEO DIESEL S10,1349.0,3.2411853224610825,0.4337972916688018,2.212,2.82,3.264,3.584,4.2
NORDESTE,ETANOL HIDRATADO,7064.0,2.3220753114382786,0.6051209571469719,1.181,1.825,2.188,2.6755,3.927
NORDESTE,GASOLINA COMUM,7065.0,3.002337296532201,0.6411627347987967,1.949,2.584,2.742,3.425,4.951
NORDESTE,GLP,7061.0,42.22131242033707,11.654977749080354,28.367,33.598,37.575,48.183,79.63
NORDESTE,GNV,5575.0,1.9253182062780272,0.5551831370479224,0.975,1.603,1.821,2.1685,3.811
NORDESTE,ÓLEO DIESEL,7065.0,2.347550460014155,0.6063812919866317,1.313,1.9,2.082,2.873,4.114
NORDESTE,ÓLEO DIESEL S10,3039.0,3.041957222770648,0.44255455860268034,2.13,2.6,3.087,3.338,4.069
NORTE,ETANOL HIDRATADO,5404.0,2.53079570688379,0.6554206649897274,1.226,2.046,2.343,2.93525,4.459
NORTE,GASOLINA COMUM,5494.0,3.149212413542046,0.6409644754480124,1.995,2.70525,2.932,3.57975,5.362
NORTE,GLP,5494.0,47.1745387695668,14.477296036200837,28.086,36.509249999999994,42.453500000000005,54.63575,87.27
NORTE,GNV,457.0,2.000190371991247,0.6023661575834378,1.219,1.399,1.85,2.3,4.02
NORTE,ÓLEO DIESEL,5494.0,2.5699049872588278,0.6503495913793946,1.45,2.088,2.334,3.08,4.774
NORTE,ÓLEO DIESEL S10,2359.0,3.3106189063162357,0.5339662276906241,2.172,2.878,3.307,3.653,4.878
SUDESTE,ETANOL HIDRATADO,3140.0,2.1648324840764332,0.6523553478010241,0.765999999999999,1.69275,2.0435,2.572,4.115
SUDESTE,GASOLINA COMUM,3140.0,3.000565286624204,0.6985732106372387,1.888,2.502,2.793,3.4515000000000002,5.119
SUDESTE,GLP,3139.0,42.07781299776999,11.522013215617465,28.026,33.6385,38.266,49.251000000000005,79.192
SUDESTE,GNV,3136.0,1.7796836734693877,0.5072836785543349,0.996,1.473,1.694,2.003,3.594
SUDESTE,ÓLEO DIESEL,3140.0,2.33969872611465,0.5886414791828928,1.356,1.876,2.0825,2.825,3.994
SUDESTE,ÓLEO DIESEL S10,1352.0,3.054424556213018,0.41961842868036897,2.18,2.647,3.09,3.386,4.08
SUL,ETANOL HIDRATADO,2354.0,2.268863636363636,0.7035672456843488,0.922,1.721,2.114,2.60325,4.287
SUL,GASOLINA COMUM,2355.0,2.9731358811040343,0.6240319866449232,1.961,2.543,2.732,3.3434999999999997,4.953
SUL,GLP,2355.0,43.53546539278132,11.628192892700163,29.44,34.8245,40.047,51.412499999999994,72.088
SUL,GNV,2343.0,1.9079440887750747,0.500693633166638,1.168,1.512,1.8,2.1925,3.499
SUL,ÓLEO DIESEL,2355.0,2.3328615711252656,0.5284536847133154,1.374,1.951,2.09,2.7855,3.8
SUL,ÓLEO DIESEL S10,1014.0,2.9817445759368835,0.3669524190318607,2.14,2.663,2.991,3.254,3.815
