REGIÃO,PRODUTO,Unnamed: 0,DATA INICIAL,DATA FINAL,ESTADO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MÊS,ANO
CENTRO OESTE,ETANOL HIDRATADO,106684,2019-06-23,2019-06-29,MATO GROSSO DO SUL,487,R$/l,3.999,0.336,3.999,3.999,0.666,0.212,3.307,0.332,3.1979,3.4093,0.187,12,2019
CENTRO OESTE,GASOLINA COMUM,106765,2019-06-23,2019-06-29,MATO GROSSO DO SUL,492,R$/l,4.963,0.312,4.849,5.39,0.772,0.095,4.492,0.309,4.295,4.6727,0.085,12,2019
CENTRO OESTE,GLP,106792,2019-06-23,2019-06-29,MATO GROSSO DO SUL,766,R$/13Kg,99.357,9.842,90.0,120.0,9.997,0.136999999999999,83.137,9.995,83,94.5,0.297,12,2019
CENTRO OESTE,GNV,106812,2019-06-23,2019-06-29,MATO GROSSO DO SUL,10,R$/m3,3.89,0.53,3.89,3.89,1.072,0.262,2.866,0.654,2.8664,2.8664,0.419,12,2019
CENTRO OESTE,ÓLEO DIESEL,106711,2019-06-23,2019-06-29,MATO GROSSO DO SUL,430,R$/l,4.162,0.278999999999999,3.969,4.53,0.674,0.077,3.704,0.231,3.668,3.9878,0.087,12,2019
CENTRO OESTE,ÓLEO DIESEL S10,106738,2019-06-23,2019-06-29,MATO GROSSO DO SUL,185,R$/l,4.2,0.4,3.99,5.08,0.668,0.103,3.804,0.374,3.7875,4.3063,0.107,12,2019
NORDESTE,ETANOL HIDRATADO,106698,2019-06-23,2019-06-29,SERGIPE,543,R$/l,3.927,0.607,3.779,4.599,0.909,0.192,3.601,0.347,3.2977,3.9568,0.186,12,2019
NORDESTE,GASOLINA COMUM,106779,2019-06-23,2019-06-29,SERGIPE,625,R$/l,4.951,0.331,4.699,5.79,0.935,0.115,4.468,0.201,4.4468,4.8852,0.065,12,2019
NORDESTE,GLP,106806,2019-06-23,2019-06-29,SERGIPE,493,R$/13Kg,79.63,10.748,75.0,90.0,9.997,0.208,65.376,9.643,55.35,89.9,0.345,12,2019
NORDESTE,GNV,106822,2019-06-23,2019-06-29,SERGIPE,51,R$/m3,3.811,0.415,3.79,3.95,1.416,0.228,3.145,0.562,3.1446,3.1941,0.608,12,2019
NORDESTE,ÓLEO DIESEL,106725,2019-06-23,2019-06-29,SERGIPE,535,R$/l,4.114,0.347,3.974,5.2,0.649,0.092,3.611,0.261,3.5672,3.8085,0.104,12,2019
NORDESTE,ÓLEO DIESEL S10,106752,2019-06-23,2019-06-29,SERGIPE,277,R$/l,4.069,0.324,4.069,5.3,0.595,0.084,3.652,0.227,3.5933,3.9362,0.074,12,2019
NORTE,ETANOL HIDRATADO,106699,2019-06-23,2019-06-29,TOCANTINS,150,R$/l,4.459,0.49,4.459,4.97,0.911,0.166999999999999,3.858,0.536,3.8581,4.2137,0.368,12,2019
NORTE,GASOLINA COMUM,106780,2019-06-23,2019-06-29,TOCANTINS,265,R$/l,5.362,0.557,5.22,6.29,1.03,0.168,4.614,0.264,4.4234,4.914,0.123,12,2019
NORTE,GLP,106807,2019-06-23,2019-06-29,TOCANTINS,383,R$/13Kg,87.27,10.675,85.0,110.0,9.999,0.176,72.428,9.737,72.39,88,0.283,12,2019
NORTE,GNV,106510,2019-06-09,2019-06-15,TOCANTINS,5,R$/m3,4.02,0.608,4.02,4.02,0.808,0.395,2.72,0.331,2.72,2.72,0.152,12,2019
NORTE,ÓLEO DIESEL,106726,2019-06-23,2019-06-29,TOCANTINS,240,R$/l,4.774,0.361,4.43,4.95,0.875,0.102,4.019,0.456,3.9554,4.27,0.267,12,2019
NORTE,ÓLEO DIESEL S10,106753,2019-06-23,2019-06-29,TOCANTINS,146,R$/l,4.878,0.341,4.799,5.09,1.014,0.103,4.478,0.274,4.4782,4.4782,0.097,12,2019
SUDESTE,ETANOL HIDRATADO,106697,2019-06-23,2019-06-29,SAO PAULO,4111,R$/l,4.115,0.347,3.55,4.999,0.816,0.144,3.603,0.344,3.4164,4.19,0.221,12,2019
SUDESTE,GASOLINA COMUM,106778,2019-06-23,2019-06-29,SAO PAULO,4167,R$/l,5.119,0.228,4.69,5.988,0.702,0.067,4.66,0.193,4.3503,5.091,0.067,12,2019
SUDESTE,GLP,106805,2019-06-23,2019-06-29,SAO PAULO,2165,R$/13Kg,79.192,9.632,60.0,100.0,9.997,0.15,53.944,7.165,46.93,76.05,0.183,12,2019
SUDESTE,GNV,106821,2019-06-23,2019-06-29,SAO PAULO,294,R$/m3,3.594,0.467,3.499,4.19,1.241,0.201,2.9,0.541,2.8215,3.2887,0.78,12,2019
SUDESTE,ÓLEO DIESEL,106724,2019-06-23,2019-06-29,SAO PAULO,3237,R$/l,3.994,0.209,3.679,4.749,0.573,0.066,3.546,0.175,3.369,4.136,0.059,12,2019
SUDESTE,ÓLEO DIESEL S10,106751,2019-06-23,2019-06-29,SAO PAULO,1374,R$/l,4.08,0.206,3.79,4.849,0.621,0.059,3.632,0.176,3.4598,4.1099,0.064,12,2019
SUL,ETANOL HIDRATADO,106696,2019-06-23,2019-06-29,SANTA CATARINA,871,R$/l,4.287,0.351,3.899,4.98,0.705,0.133,3.791,0.326,3.3942,4.4571,0.201,12,2019
SUL,GASOLINA COMUM,106777,2019-06-23,2019-06-29,SANTA CATARINA,924,R$/l,4.953,0.262,4.649,5.49,0.712,0.072,4.467,0.18,4.2569,4.7734,0.059,12,2019
SUL,GLP,106804,2019-06-23,2019-06-29,SANTA CATARINA,1416,R$/13Kg,72.088,10.27,65.0,95.0,9.988,0.157,54.802,8.716,47.38,74,0.23,12,2019
SUL,GNV,106820,2019-06-23,2019-06-29,SANTA CATARINA,60,R$/m3,3.499,0.487,3.48,3.89,1.438,0.233,2.709,0.643,2.6159,3.3724,0.435,12,2019
SUL,ÓLEO DIESEL,106723,2019-06-23,2019-06-29,SANTA CATARINA,712,R$/l,3.8,0.223999999999999,3.49,4.778,0.61,0.069,3.441,0.18,3.14,3.6309,0.061,12,2019
SUL,ÓLEO DIESEL S10,106750,2019-06-23,2019-06-29,SANTA CATARINA,368,R$/l,3.815,0.22,3.599,4.928,0.645,0.059,3.473,0.21,3.446,3.8117,0.079,12,2019
